enterprise,product
广东青永数据科技有限公司,通讯系统;复印机;管理咨询;打印机;扫码设备;信息化设备维护;标识系统;监控系统;其它信息化系统;扫描仪;企业管理信息系统;其它信息化系统硬件;
斯汇明机械有限公司,生产设备维修;锯床;
浙江昊达货物运输有限公司,运输服务;
广东省职业病防治院/广东省职业卫生检测中心,职业卫生评价;健康体检;其它检测认证服务;
广东小牛建设工程有限公司,土建施工;基建维修;
DSD HILGERS Stahlbau Gmbh,轴承;
Schaeffler AG,轴承;
库珀（天津）科技有限公司,风电其它部件;电动葫芦;
SMOC Industries ,拉刀;
ZETEC INC.,涡流检测系统设备;其它检测设备;其它维修及维护服务;其它质量测量设备;生产设备维修;
广东省科学院中乌焊接研究所,科研服务;产品检测;理化检测;
奔腾激光（温州）有限公司,切割机;
广州特众教育咨询有限公司,培训服务;
广州市技师学院,培训服务;
广州造船厂技工学校,培训服务;
广西钢之泰新能源科技有限公司,风机塔筒;
广州海盈科技有限公司,台式机;通讯设备;服务器;其它信息化系统硬件;信息化设备维护;门禁系统;其它信息化系统;监控设备;企业管理信息系统;企业管理软件;网络设备;办公软件;视频会议系统;监控系统;通讯系统;扫码设备;
广州市特种设备行业协会,资质认证;
广东粤钢重工设备有限公司,风机塔筒;
深圳星河智善生活股份有限公司,信息化设备维护;厂区绿化;其它物业服务;物管维护;保洁;园区物业服务;
voestalpine Bohler Welding Germany GmbH,不锈钢焊丝;其它焊丝;不锈钢焊带;高温合金焊丝;碳钢焊条;碳钢焊带;焊剂;碳钢焊丝;合金钢焊丝;合金钢焊条;高温合金焊条;镍基焊条;其它焊条;不锈钢焊条;合金钢焊带;高温合金焊带;
工业富联佛山智造谷有限公司,企业管理信息系统;企业管理软件;其它信息化系统;其它自动生产线设备;其它计算机软件;
四川汇通能源装备制造有限公司,铆钉;焊钉;挡圈;螺栓;螺母;销;螺钉;垫圈;键;其它紧固件;
Lincoln Electric Italia S.r.l,焊剂;不锈钢焊带;不锈钢焊条;
珠海乐檬文化传媒有限公司,广告服务;
大立润达（武汉）机电设备有限公司,其它维修及维护服务;
深圳市确正工程造价咨询有限公司,工程咨询;
岱恩（广州）企业咨询服务有限公司,印刷装订;
富士胶片实业发展(上海)有限公司,其它办公用品;办公设备维修;其它维修及维护服务;打印耗材;音像设备;视频会议系统;其它信息化系统硬件;其它信息化系统;信息化设备维护;打印机;
ITH GmbH & Co.KG,核岛设备人孔螺栓拉伸装置;核岛主设备配套中小件;
广州特种承压设备检测研究院,产品检测;其它维修及维护服务;
FRAMATOME ,其他核岛主设备外包件;
任丘市力达焊接设备材料有限公司,焊（割）工具;生产设备维修;
东莞市信达环保科技有限公司,生产设备维修;
