enterpriseId,enterpriseName,gongyingshangId,gongyingshangName
015f855611d96527fff6f06352c223fb,深圳妈湾电力有限公司,59450aa28d07d2ef7eabf7c7e7e0fc7c,苏州热工研究院有限公司
015f855611d96527fff6f06352c223fb,深圳妈湾电力有限公司,94536e8f5cbbaac62e6791b9adc8723c,南京晨光东螺波纹管有限公司
0162ac06d7643baecd5ce47883b8d99d,宁夏英力特化工股份有限公司,05edab5fe10664919619c53467ef8340,江苏红光仪表厂有限公司
0162ac06d7643baecd5ce47883b8d99d,宁夏英力特化工股份有限公司,4f534ec3aed4a3baca96e6da38d8c441,武汉材料保护研究所有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,0c588c7b32a4e1bde1b8c2a0e6ecf702,广东金盛石油化工有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,0cf3dee472daaad6e4363f814af3228b,肇庆市飞南金属有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,0ed46b8d23219588558066e0adb4356a,肇庆市佳禾食用菌有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,14879b52c66cbf907a1037b432969def,清远华清再生资源投资开发有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,249041645db1ce857557c4d7838024e5,广东贝源检测技术股份有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,24bd07c8c1eda28be3cf65d24db9a21d,广州美维电子有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,25a9ed864515bc6ceabfe9a202d67fea,广东今典建筑安装工程有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,402da0a57f2acbf47df39afb9c975c2f,清远市东江环保技术有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,40ee0a826265bb4602973ec140395fc2,新中天环保股份有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,44e7f613d78297e64a6c1c47f6ac5f45,广东赢家环保科技有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,56b88ecd0fbcaf76c6bd72ba17b16f47,中山市宝绿工业固体危险废物储运管理有限公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,5da472a9d402480f63327212ad89456f,广东今典建筑安装工程有限公司肇庆高要分公司
0167eda42beb8ff02a6acbd951970bf7,肇庆市新荣昌环保股份有限公司,70a5a85508dffeca0cf5df48c64c09f7,肇庆惠粤环保资源再生有限公司
