standard_num,level,standard_name,drafts_name,publish_date,status
JB/T 11568-2013,行业标准,五轴联动高架横梁移动龙门铣床 技术条件,四川长征机床集团有限公司,2013-12-31,现行
JB/T 11574-2013,行业标准,数控重型多功能卧式车床 精度检验,"武汉重型机床集团有限公司,齐重数控装备股份有限公司",2013-12-31,现行
JB/T 11608-2013,行业标准,无损检测仪器 工业用X射线探伤装置,"深圳华测检测技术股份有限公司,辽宁仪表研究所",2013-12-31,现行
JB/T 11612-2013,行业标准,无损检测仪器 涡流-漏磁综合检测仪,"钢铁研究总院,爱德森(厦门)电子有限公司",2013-12-31,现行
JB/T 11615-2013,行业标准,锅炉炉管电弧喷涂技术规范,"江西恒大高新技术股份有限公司,武汉材料保护研究所",2013-12-31,现行
JB/T 11631-2013,行业标准,换热器专用胀管机,"宁波精达成形装备股份有限公司,深圳市华测检测技术股份有限公司",2013-04-25,现行
JB/T 11632-2013,行业标准,换热器发夹型弯管机,"宁波精达成形装备股份有限公司,深圳市华测检测技术股份有限公司",2013-04-25,现行
JB/T 11729-2013,行业标准,工业机械电气设备及系统 整体照明装置要求,"深圳市华测检测技术股份有限公司,浙江凯达机床股份有限公司",2013-12-31,现行
JB/T 11774.1-2014,行业标准,数控重型曲轴旋风车床 第1部分：参数,"武汉重型机床集团有限公司,齐重数控装备股份有限公司",2014-05-12,现行
JB/T 11774.2-2014,行业标准,数控重型曲轴旋风车床 第2部分：精度检验,"武汉重型机床集团有限公司,齐重数控装备股份有限公司",2014-05-12,现行
JB/T 11774.3-2014,行业标准,数控重型曲轴旋风车床 第3部分：技术条件,"武汉重型机床集团有限公司,齐重数控装备股份有限公司",2014-05-12,现行
JB/T 11776.1-2014,行业标准,重型龙门移动式车铣复合加工中心 第1部分：精度检验,"武汉重型机床集团有限公司,国家机床质量监督检验中心",2014-05-12,现行
JB/T 11776.2-2014,行业标准,重型龙门移动式车铣复合加工中心 第2部分：技术条件,"武汉重型机床集团有限公司,国家机床质量监督检验中心",2014-05-12,现行
JB/T 11870.1-2014,行业标准,重型弯管机 第1部分：参数,"深圳市华测检测技术股份有限公司,浙江金马逊机械有限公司",2014-05-12,现行
JB/T 11870.2-2014,行业标准,重型弯管机　第2部分：技术条件,"深圳市华测检测技术股份有限公司,浙江金马逊机械有限公司",2014-05-12,现行
JB/T 11870.3-2014,行业标准,重型弯管机 第3部分：精度,"深圳市华测检测技术股份有限公司,浙江金马逊机械有限公司",2014-05-12,现行
JB/T 12001-2014,行业标准,火电超临界及超超临界参数阀门 一般要求,"合肥通用机械研究院,中核苏阀科技实业股份有限公司",2014-07-14,现行
JB/T 12003-2014,行业标准,阀门低温试验装置规范,"合肥通用机械研究院,中核苏阀科技实业股份有限公司",2014-07-14,现行
JB/T 12004-2014,行业标准,低真空蝶阀 技术条件,"江苏神通阀门股份有限公司,湖北洪城通用机械股份有限公司",2014-07-14,现行
JB/T 12007-2014,行业标准,高炉TRT系统用快速切断蝶阀,"郑州市郑蝶阀门有限公司,江苏神通阀门股份有限公司",2014-07-14,现行
JB/T 12021.1-2014,行业标准,智能仪表可靠性试验与评估 第1部分：通用导则,"上海自动化仪表股份有限公司,重庆工业自动化仪表研究所",2014-05-12,现行
JB/T 2298-2014,行业标准,双链式冷拔机,中信重工机械股份有限公司,2014-05-12,现行
JB/T 2732.1-2011,行业标准,悬臂刨床龙门刨床 第1部分：型式与参数,"武汉重型机床集团有限公司,东方机床实业有限公司",2011-05-18,现行
JB/T 2732.2-2008,行业标准,悬臂刨床龙门刨床 第2部分：精度检验,"武汉重型机床集团有限公司,东方机床实业有限公司",2008-06-04,现行
JB/T 2732.3-2006,行业标准,悬臂刨床龙门刨床 第3部分：技术条件,武汉重型机床有限公司,2006-11-27,现行
